time,altitude,apoapsis,periapsis,speed,pitch,throttle,mass,dynamic_pressure
225.4,134060.55,150620.26,-510619.73,906.29,23.79541015625,0.0,190779.61,0.0
226.42,134425.82,150620.26,-510619.73,903.68,23.809600830078125,0.0,190779.61,0.0
227.44,134834.77,150620.26,-510619.73,900.74,23.819183349609375,0.0,190779.61,0.0
228.48,135206.93,150620.26,-510619.73,898.06,23.8231201171875,0.0,190779.61,0.0
229.51,135597.88,150620.26,-510619.73,895.24,23.82366943359375,0.0,190779.61,0.0
230.52,135960.72,150620.26,-510619.73,892.62,23.822296142578125,0.0,190779.61,0.0
231.53,136303.9,150620.26,-510619.73,890.13,23.8204345703125,0.0,190779.61,0.0
232.53,136680.35,150620.26,-510619.73,887.4,23.81927490234375,0.0,190779.61,0.0
233.54,137051.71,150620.26,-510619.73,884.7,23.82061767578125,0.0,190779.61,0.0
234.54,137396.15,150620.26,-510619.73,882.19,23.82550048828125,0.0,190779.61,0.0
235.56,137736.09,150620.26,-510619.73,879.71,23.8349609375,0.0,190779.61,0.0
236.58,138085.71,150620.26,-510619.73,877.15,23.850860595703125,0.0,190779.61,0.0
237.59,138416.48,150620.26,-510619.73,874.73,23.873260498046875,0.0,190779.61,0.0
238.62,138756.55,150620.26,-510619.73,872.24,23.903106689453125,0.0,190779.61,0.0
239.62,139078.16,150620.26,-510619.73,869.87,23.94012451171875,0.0,190779.61,0.0
240.64,139422.08,150620.26,-510619.73,867.34,23.989288330078125,0.0,190779.61,0.0
241.64,139747.55,150620.26,-510619.73,864.93,24.045379638671875,0.0,190779.61,0.0
242.66,140048.66,150620.26,-510619.73,862.71,24.105865478515625,0.0,190779.61,0.0
243.67,140351.91,150620.26,-510619.73,860.46,24.1766357421875,0.0,190779.61,0.0
244.69,140682.21,150620.26,-510619.73,858.01,24.25994873046875,0.0,190779.61,0.0
245.7,140982.25,150620.26,-510619.73,855.78,24.345062255859375,0.0,190779.61,0.0
246.72,141277.65,150620.26,-510619.73,853.58,24.43609619140625,0.0,190779.61,0.0
247.75,141556.38,150620.26,-510619.73,851.5,24.527740478515625,0.0,190779.61,0.0
248.76,141830.84,150620.26,-510619.73,849.45,24.6229248046875,0.0,190779.61,0.0
249.8,142112.69,150620.26,-510619.73,847.34,24.724853515625,0.0,190779.61,0.0
250.82,142372.72,150620.26,-510619.73,845.39,24.82183837890625,0.0,190779.61,0.0
251.82,142651.22,150620.26,-510619.73,843.29,24.927825927734375,0.0,190779.61,0.0
252.84,142919.36,150620.26,-510619.73,841.28,25.03094482421875,0.0,190779.61,0.0
253.86,143177.43,150620.26,-510619.73,839.33,25.13006591796875,0.0,190779.61,0.0
254.86,143436.41,150620.26,-510619.73,837.38,25.2283935546875,0.0,190779.61,0.0
255.88,143701.27,150620.26,-510619.73,835.37,25.326812744140625,0.0,190779.61,0.0
256.91,143930.2,150620.26,-510619.73,833.64,25.4091796875,0.0,190779.61,0.0
257.93,144160.31,150620.26,-510619.73,831.89,25.48883056640625,0.0,190779.61,0.0
258.94,144376.41,150620.26,-510619.73,830.25,25.56011962890625,0.0,190779.61,0.0
259.96,144588.8,150620.26,-510619.73,828.64,25.62640380859375,0.0,190779.61,0.0
260.98,144807.12,150620.26,-510619.73,826.97,25.69012451171875,0.0,190779.61,0.0
261.98,145011.94,150620.26,-510619.73,825.41,25.74560546875,0.0,190779.61,0.0
262.99,145222.33,150620.26,-510619.73,823.81,25.797943115234375,0.0,190779.61,0.0
264.01,145428.68,150620.26,-510619.73,822.23,25.8446044921875,0.0,190779.61,0.0
265.04,145644.32,150620.26,-510619.73,820.58,25.888275146484375,0.0,190779.61,0.0
266.06,145855.36,150620.26,-510619.73,818.96,25.926055908203125,0.0,190779.61,0.0
267.07,146057.55,150620.26,-510619.73,817.41,25.957916259765625,0.0,190779.61,0.0
268.07,146238.68,150620.26,-510619.73,816.01,25.983123779296875,0.0,190779.61,0.0
269.09,146432.43,150620.26,-510619.73,814.52,26.007049560546875,0.0,190779.61,0.0
270.09,146609.83,150620.26,-510619.73,813.15,26.02667236328125,0.0,190779.61,0.0
271.11,146787.27,150620.26,-510619.73,811.78,26.044708251953125,0.0,190779.61,0.0
272.13,146960.68,150620.26,-510619.73,810.44,26.06146240234375,0.0,190779.61,0.0
273.16,147137.5,150620.26,-510619.73,809.08,26.078369140625,0.0,190779.61,0.0
274.17,147309.92,150620.26,-510619.73,807.74,26.09564208984375,0.0,190779.61,0.0
275.18,147477.94,150620.26,-510619.73,806.44,26.114044189453125,0.0,190779.61,0.0
276.19,147638.14,150620.26,-510619.73,805.19,26.1339111328125,0.0,190779.61,0.0
277.21,147794.13,150620.26,-510619.73,803.98,26.156494140625,0.0,190779.61,0.0
278.24,147942.67,150620.26,-510619.73,802.83,26.181640625,0.0,190779.61,0.0
279.25,148093.51,150620.26,-510619.73,801.65,26.2117919921875,0.0,190779.61,0.0
280.27,148249.16,150620.26,-510619.73,800.44,26.248809814453125,0.0,190779.61,0.0
281.28,148402.82,150620.26,-510619.73,799.24,26.292144775390625,0.0,190779.61,0.0
282.29,148536.99,150620.26,-510619.73,798.19,26.336395263671875,0.0,190779.61,0.0
283.31,148669.74,150620.26,-510619.73,797.15,26.386688232421875,0.0,190779.61,0.0
284.34,148808.84,150620.26,-510619.73,796.06,26.447021484375,0.0,190779.61,0.0
285.34,148942.77,150620.26,-510619.73,795.01,26.513275146484375,0.0,190779.61,0.0
286.36,149064.13,150620.26,-510619.73,794.06,26.580596923828125,0.0,190779.61,0.0
287.37,149185.68,150620.26,-510619.73,793.11,26.655426025390625,0.0,190779.61,0.0
288.38,149297.72,150620.26,-510619.73,792.23,26.7313232421875,0.0,190779.61,0.0
289.38,149396.41,150620.26,-510619.73,791.45,26.80389404296875,0.0,190779.61,0.0
290.4,149497.6,150620.26,-510619.73,790.66,26.883880615234375,0.0,190779.61,0.0
291.42,149592.41,150620.26,-510619.73,789.91,26.964111328125,0.0,190779.61,0.0
292.42,149681.1,150620.26,-510619.73,789.21,27.043731689453125,0.0,190779.61,0.0
293.43,149771.29,150620.26,-510619.73,788.5,27.1292724609375,0.0,190779.61,0.0
294.45,149853.45,150620.26,-510619.73,787.85,27.211212158203125,0.0,190779.61,0.0
295.46,149934.72,150620.26,-510619.73,787.21,27.295806884765625,0.0,190779.61,0.0
296.46,150006.77,150620.26,-510619.73,786.64,27.373779296875,0.0,190779.61,0.0
297.47,150079.22,150620.26,-510619.73,786.07,27.45489501953125,0.0,190779.61,0.0
298.48,150141.62,150620.26,-510619.73,785.57,27.526885986328125,0.0,190779.61,0.0
298.98,150174.05,150620.26,-510619.73,785.32,27.56512451171875,0.0,190779.61,0.0
299.52,150201.5,150620.26,-510619.73,785.1,27.59783935546875,0.0,190779.61,0.0
300.02,150229.31,150620.26,-510619.73,784.88,27.63140869140625,0.0,190779.61,0.0
300.53,150256.17,150620.26,-510619.73,784.67,27.6641845703125,0.0,190779.61,0.0
301.04,150284.38,150620.26,-510619.73,784.44,27.698974609375,0.0,190779.61,0.0
301.55,150310.34,150620.26,-510619.73,784.24,27.731414794921875,0.0,190779.61,0.0
302.08,150334.2,150620.26,-510619.73,784.05,27.762939453125,0.0,190779.61,0.0
303.1,150382.59,150715.74,-507567.17,799.32,25.837310791015625,1.0,189717.81,0.0
304.11,150435.67,150812.79,-503969.83,816.82,22.23907470703125,1.0,188552.42,0.0
